src,dst,w
id,fi,11.0
at,id,3.0
dk,in,23.0
id,bd,2.0
za,co,4.0
jp,dk,23.0
bd,mx,1.0
pe,za,2.0
br,tw,7.0
tw,dk,8.0
my,at,4.0
fi,za,7.0
cn,gr,5.0
in,pk,6.0
kr,gr,1.0
fi,cl,9.0
ch,id,5.0
cl,tr,2.0
pk,ir,4.0
cl,at,7.0
jp,co,8.0
pl,za,7.0
ie,mx,5.0
tw,co,1.0
br,ir,2.0
pe,at,3.0
at,ng,1.0
ar,tw,1.0
at,pe,2.0
ng,at,2.0
gr,my,1.0
my,gr,1.0
gr,ar,1.0
gb,gb,0.0
de,fr,660.0
de,de,0.0
za,za,0.0
mx,mx,0.0
it,it,0.0
kr,us,1433.0
de,nl,574.0
ir,ir,0.0
us,br,1454.0
id,id,0.0
se,se,0.0
bd,jp,268.0
