src,dst,w
se,ru,8.0
cl,at,10.0
pt,mx,11.0
se,br,34.0
ua,se,35.0
kr,at,17.0
it,mx,26.0
id,ru,10.0
kr,tr,12.0
fi,gr,14.0
fr,ar,14.0
ec,de,32.0
ca,id,7.0
br,ir,2.0
gb,ru,25.0
mx,jp,20.0
at,id,3.0
de,tw,44.0
tw,dk,13.0
cn,cl,11.0
ua,ng,4.0
nl,kr,14.0
pe,ch,13.0
my,at,2.0
kr,za,5.0
co,ie,12.0
ua,pt,11.0
pl,gr,6.0
ca,pl,14.0
ec,nl,7.0
ng,cl,3.0
jp,dk,33.0
fi,tr,11.0
nl,co,22.0
ca,ec,15.0
fi,za,10.0
at,ec,6.0
my,tr,21.0
es,kr,20.0
eg,kr,13.0
pe,at,5.0
ru,ie,9.0
id,bd,5.0
de,pk,18.0
my,ch,4.0
my,za,12.0
at,eg,4.0
eg,be,18.0
za,kr,3.0
ch,ng,7.0
br,pk,4.0
ch,ua,9.0
at,pt,29.0
in,pk,6.0
kr,cl,4.0
pl,cl,6.0
ch,id,6.0
at,ua,6.0
be,mx,15.0
fr,my,7.0
pl,za,4.0
cl,gr,2.0
my,cl,1.0
ng,at,7.0
ca,ua,4.0
id,br,3.0
ch,eg,4.0
ar,tw,2.0
gr,jp,2.0
br,tw,4.0
ec,au,11.0
kr,gr,3.0
gr,ar,2.0
ch,ec,4.0
ec,ie,3.0
ca,ng,5.0
fi,cl,3.0
at,ng,3.0
ua,ec,3.0
jp,co,1.0
ng,gr,2.0
cl,za,5.0
ie,mx,2.0
tw,co,1.0
bd,mx,1.0
at,pe,2.0
pe,za,1.0
gb,gb,0.0
it,it,0.0
de,de,0.0
mx,mx,0.0
ir,ir,0.0
id,id,0.0
fr,es,639.0
za,za,0.0
fi,be,36.0
kr,kr,0.0
se,se,0.0
br,fr,470.0
ch,fi,45.0
gb,pl,146.0
pl,dk,45.0
de,au,241.0
kr,us,1742.0
in,nl,197.0
us,bd,117.0
gb,se,309.0
br,nl,174.0
eg,ch,15.0
pk,de,120.0
mx,ca,110.0
bd,my,151.0
in,fr,395.0
in,au,567.0
in,de,967.0
id,gb,280.0
br,de,485.0
ng,us,979.0
us,br,860.0
dk,it,83.0
gr,es,74.0
nl,ch,288.0
de,nl,740.0
pk,ie,87.0
cn,us,3691.0
gb,eg,81.0
bd,jp,203.0
in,ie,238.0
ie,jp,12.0
cn,dk,187.0
se,gb,260.0
es,cl,404.0
br,au,160.0
tw,ch,19.0
gb,ng,128.0
de,fr,618.0
de,ie,123.0
pe,be,17.0
ar,de,62.0
cn,kr,251.0
es,ch,258.0
mx,es,500.0
